Name,Spinoff Relevance,Website,Email,LinkedIn,Instagram,X/Twitter,Discord,Facebook,YouTube,GitHub,TikTok,HuggingFace,Luma,Linktree,Slack,University,Sector,Activity Mode
Eat & Meet München,C,https://www.instagram.com/eatmeetmunich,,,https://www.instagram.com/eatmeetmunich,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Eat your campus,C,https://www.instagram.com/eatyourcampus,,,https://www.instagram.com/eatyourcampus,,,,,,,,,,,HM,"Culture, Sports & Community",NETWORK
Effektiver Altruismus München,C,https://www.eamuenchen.de/,,,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
EHG – Evangelische Hochschulgemeinde an der TUM,C,https://www.ehg-tum.de/,,,https://www.instagram.com/ehg_tum,,,https://www.facebook.com/EHG.TUM,https://www.youtube.com/@EHGTUMChannel,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Electrochemical Society Student Chapter Munich,C,https://www.ch.nat.tum.de/tec/ecs-student-chapter,,https://www.linkedin.com/company/ecsscm,,,,,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
EMSA FMO TU Munich,C,https://www.sv.tum.de/en/med/projekte/emsa,,,,,,https://facebook.com/emsa.tumunich,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
EnHands,C,https://enhands.de/,,,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
Erasmus Student Network (ESN TUMi),C,https://tumi.esn.world/events,,https://linkedin.com/company/compvis,,,,,https://www.youtube.com/watch?v=DOJoHXRj0Tk,https://github.com/CompVis/stable-diffusion,,,,,,TUM,"Culture, Sports & Community",NETWORK
Ethics in Academia,C,,,,,,,,,,,,,https://linktr.ee/ethics.academia.tum,,TUM,Social Impact & Education,ADVOCATE
Evangelische Studierendengemeinde,C,https://www.esgmuenchen.de/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
Faculties Football League,C,https://facultiesfootballleague.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Forward Europe Munich,C,https://munich.fwdeu.org/,,,,,,,,,,,,,,TUM,Governance & Advocacy,ADVOCATE
Fusian Dance Crew,C,https://fusiandance.github.io/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
German Chinese Student Club,C,https://www.instagram.com/gcsc.muc,,,https://www.instagram.com/gcsc.muc,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
GOOSE,C,https://rexusgoose.com/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Griechisch-Orthodoxe Metropolie,C,https://hellas-bayern.de/1,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
HM Kino,C,http://www.fs04.de/kino,,,https://www.instagram.com/hm__kino,,,http://www.facebook.com/hmkino,,,,,,,,HM,"Culture, Sports & Community",NETWORK
Hochschulgruppe des Landesbund für Vogelschutz Straubing,C,https://straubing-bogen.lbv.de/%C3%BCber-uns/hochschulgruppe,,,https://www.instagram.com/lbv_bayern,http://twitter.com/intent/tweet?status=LBV%20-%20Gemeinsam%20Bayerns%20Natur%20sch%C3%BCtzen+https://www.lbv.de/,,https://www.facebook.com/LBVBayern,https://www.youtube.com/user/LBVBayern,,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
Hochschulgruppe des Landesbunds für Vogelschutz Freising,C,https://freising.lbv.de/hochschulgruppe/%C3%BCber-uns,,,,,,,,,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
Hongkong-Macau Student Society München,C,https://hkmss.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Humanistische Hochschulgruppe München,C,http://www.hhgm.de/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
I-Club,C,https://www.facebook.com/internationalclub.munich,,,,,,https://www.facebook.com/internationalclub.munich,,,,,,,,HM,"Culture, Sports & Community",NETWORK
IAMLIS,C,https://sites.hm.edu/iamlis,,,,,,,,,,,,,,HM,"Culture, Sports & Community",NETWORK
Islamische Hochschulvereinigung,C,http://ihv-muenchen.net/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
Japanese Culture Club München,C,https://jacc-munich.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
jDPG RG München,C,https://www.dpg-physik.de/vereinigungen/fachuebergreifend/ak/akjdpg/regional/rg-muenchen,,,,,,,,,,,,,,TUM,Quantum & Deep Physics,NETWORK
JSUD – Jüdische Studierendenunion,C,https://www.facebook.com/JSUDeutschland,,,,,,https://www.facebook.com/JSUDeutschland,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Jungchemikerforum München,C,https://jcf.io/muenchen,,,,,,,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
Junior-Gesellschaft für Biochemie und Molekularbiologie München,C,https://gbm-online.de/de/junior-gbm-muenchen.html,,,,,,,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
Katholische Hochschulgemeinde München,C,https://ekhg.hm.edu/,,,,,,,,,,,,,,TUM/LMU,"Culture, Sports & Community",NETWORK
Kulturklub,C,https://kulturklub.wixsite.com/kulturklub,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
LATUM,C,https://www.instagram.com/latum.club,,,https://www.instagram.com/latum.club,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
Leptodon,C,https://leptodon.de/,,,,,,,,,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
Lëtzebuerger Studenten zu München,C,https://lsm.lu/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
M 94.5,C,http://www.m945.de/,,,,,,,,,,,,,,LMU/HM,"Culture, Sports & Community",BUILD
Mary's Meals Studentclub,C,https://www.instagram.com/marysmeals.studentclub,,,https://www.instagram.com/marysmeals.studentclub,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
mhm,C,http://www.facebook.com/mhm.magazin,,,,,,http://www.facebook.com/mhm.magazin,,,,,,,,HM,"Culture, Sports & Community",BUILD
MigraMed München,C,https://www.fachschaft-medizin.de/migramed,,,,,,,,,,,,,,LMU,Biotech & Life Sciences,NETWORK
Model United Nations TU Munich (MUNTUM),C,https://muntum.org/,,,,,,,,,,,,,,TUM,Governance & Advocacy,EDUCATE
MUN Centenarians,C,https://muncent.com/,,,,,,,,,,,,,,TUM,Governance & Advocacy,EDUCATE
Munich Animal Rights Club,C,https://www.municharc.de/,,https://www.linkedin.com/company/11814768,http://instagram.com/warr.tum,https://twitter.com/warr_tum,,https://www.facebook.com/warr.tum,https://www.youtube.com/c/WARR_TUM,,,,,,,TUM,Social Impact & Education,ADVOCATE
Munich Competitive Math Club,C,https://mc-squared.jimdosite.com/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Munich eSports,C,https://munich-esports.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Munich Student Athletes Club,C,https://www.munich-sac.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Munich Students MTB Club,C,https://www.instagram.com/munichstudentsmtb,,,https://www.instagram.com/munichstudentsmtb,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Muslimische Studenteninitiative der TUM,C,https://www.muslimischestudenteninitiative.de/ueber-uns,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Münchner Erasmus Studenten Assoziation (MESA e.V.),C,http://mesa.esn-germany.de/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
Münchner Uni Schafkopf Club,C,https://discord.gg/4hJ6PrGD7J,,,,,https://discord.gg/4hJ6PrGD7J,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Nightline München,C,https://nightlinemuenchen.wordpress.com/,nightline.muenchen.mitglieder@gmail.com,,,,,https://www.facebook.com/CampusZeitung.LMU?ref=br_rs,,,,,,,,TUM/LMU,Social Impact & Education,CONSULT
Nomen Nominandum,C,https://www.fachschaft.geschichte.uni-muenchen.de/nono/index.html,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
PAOSO,C,https://www.paoso.de/,,,,,,,,,,,,,,HM,"Culture, Sports & Community",NETWORK
peca e.V.,C,https://www.peca-ev.com/,,,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
Phantum,C,https://phantum.eu/,,,https://www.instagram.com/phantum_aerospace/,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Philosophia Munich,C,https://www.philosophiamunich.org/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Philtrat,C,https://philtrat-muenchen.de/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",BUILD
Plant a Seed,C,https://umwelt.asta.tum.de/plantaseed,,,,,,https://facebook.com/rivoumwelt,,,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
Plant-Based Universities Munich,C,https://www.pbu-munich.de/,,,,,,,,,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
PPI Munich,C,https://ppimunich.org/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Praias do Isar,C,https://praiasdoisar.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Referat für Nachhaltigkeit,C,https://hm.edu/hochschule_muenchen/nachhaltigkeit_1/ordner2_1/referat_fuer_nachhaltige_entwicklung.de.html,,,,,,,,,,,,,,HM,Sustainability & CleanTech,ADVOCATE
Refugee Law Clinic—Munich,C,http://rlcm.de/,,,,,,,,,,,,,,LMU,Social Impact & Education,CONSULT
rescriptum,C,http://www.rescriptum.org/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",BUILD
Ringvorlesung Umwelt,C,https://umwelt.asta.tum.de/en/ringvorlesung,,,https://instagram.com/umweltreferat,,,https://facebook.com/rivoumwelt,,,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
RockYourLife! München,C,https://muenchen.rockyourlife.de/,,,,,,,,,,,,,,TUM,Social Impact & Education,CONSULT
Sinik,C,http://sinik-munich.de/WER-WIR-SIND,,https://de.linkedin.com/company/sinik-munich,,,,https://www.facebook.com/SinikMunich,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
Sky Campus München,C,https://www.instagram.com/skycampusmunich,,,https://www.instagram.com/skycampusmunich,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
SLOVO – Russischsprachiger Club,C,https://www.instagram.com/slovotum,,,https://www.instagram.com/slovotum,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
sneep,C,http://www.sneep.info/lokalgruppen/muenchen,,,,,,,,,,,,,,LMU,Sustainability & CleanTech,ADVOCATE
Society of Sommeliers,C,https://www.societyofsommeliers.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Stipendiennetzwerk München,C,https://stipendiennetzwerk.de/,,,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
StOrch Studierendenorchester,C,https://storch-muenchen.org/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Studenten bilden Schüler e.V.,C,https://studenten-bilden-schueler.de/standorte/muenchen,,,,,,,,,,,,,,LMU,Social Impact & Education,ADVOCATE
Studentenhilfe München e.V,C,https://www.studentenhilfe-muenchen.de/,,,,,,,,,,,,,,LMU,Social Impact & Education,ADVOCATE
Studentisches Green Office,C,https://hm.edu/hochschule_muenchen/nachhaltigkeit_1/nachhaltige_hochschule/green_office.de.html,,,,,,,,,,,,,,HM,Sustainability & CleanTech,ADVOCATE
Studierendenvertretung STUVE,C,http://www.stuve.hm.edu/,,,,,,,,,,,,,,HM,Governance & Advocacy,ADVOCATE
Studnd,C,https://studnd.club/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Study Tutors München,C,https://studytutors.de/standorte/muenchen,,,,,,,,,,,,,,TUM,Social Impact & Education,EDUCATE
Talente Spenden,C,https://www.talente-spenden.com/,,,,,,,,,,,,,,TUM,Social Impact & Education,CONSULT
The Bulletin,C,https://www.instagram.com/thebulletintum,,,https://www.instagram.com/thebulletintum,,,,,,,,,,,TUM,"Culture, Sports & Community",BUILD
TIDE,C,https://tum-tide.com/,,,,,,,,,,,,,,TUM,Governance & Advocacy,ADVOCATE
TSM Championship,C,https://miasantum.de/,,,https://www.instagram.com/miasantum,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TU eMpower Africa e.V.,C,https://de.linkedin.com/company/tu-empower-africa-e-v,,https://de.linkedin.com/company/tu-empower-africa-e-v,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
TU Peak Seekers,C,https://www.linkedin.com/company/tu-peak-seekers,,https://www.linkedin.com/company/tu-peak-seekers,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM Buchclub,C,https://www.instagram.com/tum.buchclub,,,https://www.instagram.com/tum.buchclub,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM Chess Club,C,https://www.instagram.com/tum_chessclub,,,https://www.instagram.com/tum_chessclub,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM Cycling Club,C,https://www.instagram.com/tumcycling,,,https://www.instagram.com/tumcycling,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM Dixieland Combo,C,https://tum-dixieland-combo.jimdosite.com/,,https://www.linkedin.com/company/academy-consult,https://www.instagram.com/academy.consult,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM HN Hiking Club,C,https://www.instagram.com/tum.hiking.club,,,https://www.instagram.com/tum.hiking.club,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM JazzBand,C,https://tumjazzband.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TUM Verdauungskanal,C,,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Turkish Club,C,https://www.turkishclub-munich.com/en,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
TutoRIA,C,https://www.tutoria-international.uni-muenchen.de/index.html,,,,,,,,,,,,,,LMU,Social Impact & Education,EDUCATE
Unikatmag,C,http://unikatmuc.de/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",BUILD
Verband Jüdischer Studenten in Bayern,C,https://www.studentenwerk-muenchen.de/beratungsnetzwerk/wir-arbeiten-zusammen-mit/hochschulgemeinden/verband-juedischer-studenten-in-bayern-vjsb,,https://www.linkedin.com/company/gbm-gesellschaft-für-biochemie-und-molekularbiologie---biotechnology-company---frankfurt-germany?viewAsMember=true,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
YFN @ UNIS,C,https://youngfounders.network/chapter/muenchen,,https://www.linkedin.com/authwall?trk=bf&trkInfo=AQHoWdWvZp6buwAAAXlF7G1ojHWjcVIPLVwiv1FRXJDrfT0HpQbMgEj0iofQrMnJ2fLeKy-5xTeYBnDArQfgb0WdckH6PhzB6M58TP9MYaGtmWyid5GMvNetiqGPvUnpFeNvd88=&originalReferer=&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fispedachyp%2F,https://www.instagram.com/ispe_dach,https://twitter.com/ISPEorg,,https://www.facebook.com/ISPEorg,https://www.youtube.com/@ispedach3223,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Youth4Paws,C,https://youth4paws.org/,,,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
